[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[68.63] AR26, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,1/20/2026 7:52:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AR26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[KPI Values],,,,,,,,,,,,,,,,,,,,,,,,,,
Lap time [s],68.63429457,,,,,,,,,,,,,,,,,,,,,,,,,
Percent in Corners [%],87.85371213,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Accelerating [%],64.45036028,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Braking [%],34.11125296,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Coasting [%],0.595915667,,,,,,,,,,,,,,,,,,,,,,,,,
Percent 100% Throttle [%],9.94595472,,,,,,,,,,,,,,,,,,,,,,,,,
Percent TCS Enabled [%],27.92893495,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest Speed [km/h],30.64872114,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Speed [km/h],131.3805958,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed [km/h],83.93667732,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Spent [kJ],2707.591804,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Consumption [kg],∞,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Shifts [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Lateral Acceleration [m/s^2],28.13436734,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Longitudinal Acceleration [m/s^2],18.48505509,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Longitudinal Deceleration [m/s^2],-39.12697572,,,,,,,,,,,,,,,,,,,,,,,,,
Time in Sector 1 [s],68.63429457,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Speed in Sector 1 [km/h],131.3805958,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Speed in Sector 1 [km/h],30.64872114,,,,,,,,,,,,,,,,,,,,,,,,,
Percent in Gear 1 [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Vehicle Parameters],,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Longitudinal Friction [kg],0,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Mass [kg],270,,,,,,,,,,,,,,,,,,,,,,,,,
Drag Coefficient [-],1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Downforce Coefficient [-],4.23,,,,,,,,,,,,,,,,,,,,,,,,,
Aero Efficiency [-],3.021428571,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal Area [m^2],0.81,,,,,,,,,,,,,,,,,,,,,,,,,
Drivetrain Efficiency [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Tire Rolling Radius [m],0.203,,,,,,,,,,,,,,,,,,,,,,,,,
Air Density [kg/m^3],1.255,,,,,,,,,,,,,,,,,,,,,,,,,
Rev Limit [rpm],20000,,,,,,,,,,,,,,,,,,,,,,,,,
Longitudinal Friction [-],1.75,,,,,,,,,,,,,,,,,,,,,,,,,
Lateral Friction [-],1.75,,,,,,,,,,,,,,,,,,,,,,,,,
Final Drive Ratio [-],1,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Weight on Driven Wheel [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Energy Density [J/kg],0,,,,,,,,,,,,,,,,,,,,,,,,,
Engine Thermal Efficiency [%],0,,,,,,,,,,,,,,,,,,,,,,,,,
Tire Rolling Drag [-],0.015,,,,,,,,,,,,,,,,,,,,,,,,,
Power Scaling Factor [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Aero Scaling Factor [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Grip Scaling Factor [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Lateral Friction [kg],0,,,,,,,,,,,,,,,,,,,,,,,,,
Load Sensitivity Lateral Friction [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Load Sensitivity Longitudinal Friction [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Ratio Data [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Shift Points [rpm],0,,,,,,,,,,,,,,,,,,,,,,,,,
Torque Data [N.m],0,,,,,,,,,,,,,,,,,,,,,,,,,
RPM Data [rpm],0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Vehicle KPIs],,,,,,,,,,,,,,,,,,,,,,,,,,
Top Speed [km/h],131.3805958,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration Time To Speed [27.778 km/h] [s],54.80261341,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration Time For Distance [100 m] [s],55.08036958,,,,,,,,,,,,,,,,,,,,,,,,,
Deceleration Time For Speed [27.778 km/h] [s],1.34650984,,,,,,,,,,,,,,,,,,,,,,,,,
Deceleration Distance For Speed [27.778 km/h] [m],0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Simulation Results],,,,,,,,,,,,,,,,,,,,,,,,,,
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
