TIRF Data File: Project 1654; Run 43
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none
0.000	40.33	483.71	-0.063	-0.033	21.531	22.120	82.98	-65.15	0.36	-1082.37	127.03	-6.03	0.06	0.00	30.42	43.55	40.69	46.93	26.03	-0.027
0.010	40.32	483.85	-0.058	-0.034	21.531	22.111	82.47	-44.74	-2.61	-1081.26	122.15	8.94	0.04	0.00	30.44	43.36	40.43	46.78	26.03	-0.026
0.020	40.32	483.65	-0.061	-0.040	21.530	22.120	82.98	-16.63	-3.60	-1070.28	109.43	24.66	0.02	0.00	30.44	43.39	40.66	46.53	26.01	-0.027
0.030	40.31	483.78	-0.047	-0.034	21.531	22.109	82.88	10.36	-6.18	-1049.67	90.34	36.20	-0.01	0.01	30.45	43.31	40.74	46.96	26.01	-0.026
0.040	40.32	483.92	-0.056	-0.031	21.532	22.105	82.93	29.05	-6.57	-1025.47	72.06	40.65	-0.03	0.01	30.47	43.41	40.51	46.81	26.03	-0.026
0.050	40.32	483.92	-0.060	-0.044	21.535	22.105	82.88	32.56	-4.57	-1006.73	58.34	36.40	-0.03	0.00	30.44	43.44	40.61	47.14	26.02	-0.026
0.060	40.31	483.85	-0.066	-0.027	21.526	22.103	82.93	18.93	-3.41	-994.16	51.99	24.55	-0.02	0.00	30.46	43.45	40.58	46.97	26.01	-0.026
0.070	40.30	483.92	-0.061	-0.037	21.528	22.098	82.88	-5.69	-3.15	-995.23	54.47	9.00	0.01	0.00	30.46	43.47	40.61	47.10	26.02	-0.026
0.080	40.30	483.99	-0.051	-0.034	21.531	22.094	82.83	-34.70	-3.59	-1011.04	66.24	-6.34	0.03	0.00	30.47	43.65	40.61	47.07	26.03	-0.026
0.090	40.31	483.85	-0.061	-0.030	21.525	22.103	82.68	-60.66	-4.64	-1030.88	82.53	-18.42	0.06	0.00	30.46	43.49	40.52	47.22	26.01	-0.026
0.100	40.30	483.78	-0.070	-0.031	21.530	22.101	82.88	-76.87	-5.62	-1056.52	102.14	-23.50	0.07	0.01	30.47	43.53	40.55	46.97	26.01	-0.026
0.110	40.30	483.71	-0.058	-0.033	21.531	22.107	82.83	-84.95	-6.71	-1077.30	117.88	-21.79	0.08	0.01	30.47	43.49	40.54	46.93	26.03	-0.026
0.120	40.30	483.65	-0.061	-0.036	21.526	22.105	82.78	-81.31	-10.05	-1086.84	125.67	-12.65	0.07	0.01	30.47	43.45	40.46	46.90	26.02	-0.026
0.130	40.30	483.71	-0.060	-0.036	21.532	22.102	82.83	-65.64	-8.80	-1084.91	123.41	1.91	0.06	0.01	30.49	43.45	40.49	46.63	26.00	-0.026
