[Result Details]
Result Name,[42.43] AR26 (1), FSAE Endurance Austria 2012
Date Created,5/6/2026 12:00:38 PM
Track,FSAE Endurance Austria 2012
Track Configuration,Closed Circuit
Vehicle,AR26 (1)

[KPI Values]
Lap time [s],42.4301269682043,
Percent in Corners [%],98.3644996278174,
Percent Accelerating [%],61.4181036870818,
Percent Braking [%],37.0274204012126,
Percent Coasting [%],0.418932888774373,
Percent 100% Throttle [%],1.6355003721826,
Percent TCS Enabled [%],30.6206672099063,
Lowest Speed [km/h],36.8952916451278,
Highest Speed [km/h],131.380595779309,
Average Speed [km/h],88.1821884071909,
Energy Spent [kJ],1634.79075332892,
Fuel Consumption [kg],∞,
Gear Shifts [-],0,
Maximum Lateral Acceleration [G],3.05920124417796,
Maximum Longitudinal Acceleration [G],1.78698586387654,
Maximum Longitudinal Deceleration [G],-3.94277715384215,
Time in Sector 1 [s],42.4301269682043,
Maximum Speed in Sector 1 [km/h],131.380595779309,
Minimum Speed in Sector 1 [km/h],36.8952916451278,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],270,
Drag Coefficient [-],1.4,
Downforce Coefficient [-],4.23,
Aero Efficiency [-],3.02142857142857,
Frontal Area [m^2],0.81,
Drivetrain Efficiency [%],100,
Tire Rolling Radius [m],0.203,
Air Density [kg/m^3],1.255,
Rev Limit [rpm],20000,
Longitudinal Friction [-],1.75,
Lateral Friction [-],1.75,
Final Drive Ratio [-],1,
Fuel Energy Density [J/kg],0,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.015,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],131.380595779309,
Acceleration Time To Speed [27.778 km/h] [s],54.8026134094753,
Acceleration Time For Distance [100 m] [s],54.9098219523825,
Deceleration Time For Speed [27.778 km/h] [s],1.34650984028751,
Deceleration Distance For Speed [27.778 km/h] [m],16.8,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
76.8712169366561,0.00274013067047376,0.1,-2.39356973005707,-0.0025819846195154,1,11.65,11702.0655113763,38.2017,107.294444636694,980.305925192224,947.729146389125,0,47.0000550378983,0,67.1664613050735,1,131.380595779309,1.75,1.75,0,0,0,0.112510880344712,-9.42338395532336E-05,0,3629.00592519222,
76.8707952350757,0.00742328796062893,0.2,0.694577573383981,-0.00254973459173295,1,11.65,11702.0013159633,65.5071915778348,107.64991076762,980.295169660038,324.447573882755,90.1012185260961,91.3697045671418,0,66.9156933461629,1,131.380595779309,1.75,1.75,0.0979542793204039,2.33515209077734,52.2161738251722,0.222454851548917,-0.00165414331303504,0,3628.99516966004,
77.0818831742899,0.0121064709418781,0.3,0.701024548359987,1.27629416883189,1,11.65,11734.1351235415,65.3015352093342,107.60662919804,985.686361473635,326.23189268631,0,91.2949125799045,0,66.6649253872522,1,131.380595779309,1.75,1.75,0.196240849900267,3.12468614981073,17.6546194440074,0.332351797052694,-0.00302546959728159,0,3634.38636147364,
77.2915419481273,0.0167768290750079,0.4,0.707504598122493,1.27113403992169,1,11.65,11766.0513700152,65.0972712319029,107.561803383131,991.055686526936,328.008974264234,0,91.2200295430244,0,66.4141574283415,1,131.380595779309,1.75,1.75,0.29486221953567,3.40229381187503,6.22457755102258,0.442201398126382,-0.00420774094038596,0,3639.75568652694,
77.4997886454685,0.0214345185313989,0.5,0.714018199905294,1.26600693603676,1,11.65,11797.7526568157,64.8943829963795,107.515466890941,996.403285987997,329.778865338817,0,91.1450558905059,0,66.1633894694308,1,131.380595779309,1.75,1.75,0.393820924466479,3.50932108409954,2.40631537233496,0.552003333235111,-0.00520048217969768,0,3645.103285988,
77.7066400305691,0.026079692489832,0.6,0.720565837020987,1.26091247800196,1,11.65,11829.241535957,64.6928541698749,107.467652521797,1001.7292993791,331.541612087646,0,91.0699920545737,0,65.9126215105202,1,131.380595779309,1.75,1.75,0.493119529780603,3.55955123740354,1.13237725878234,0.661757278001979,-0.00600321470600354,0,3650.4292993791,
77.9121125516288,0.0307125012158094,0.7,0.727147998999632,1.25585029370973,1,11.65,11860.5205113401,64.4926687274233,107.418392330097,1007.03386460804,333.29726015396,0,90.9948384657175,0,65.6618535516095,1,131.380595779309,1.75,1.75,0.592760629884494,3.59091330679298,0.708906501598487,0.771462905170627,-0.00661545642721118,0,3655.73386460804,
78.1162223490712,0.0353330921381957,0.8,0.733765181730002,1.25082001793518,1,11.65,11891.5920400132,64.2938109439154,107.367717645338,1012.31711799854,335.045854656728,0,90.919595552735,0,65.4110855926988,1,131.380595779309,1.75,1.75,0.69274684893257,3.61605159075416,0.569726899602717,0.881119884567182,-0.00703672173152626,0,3661.01711799854,
