[Result Details]
Result Name,[68.63] AR26 (1), FSAE Endurance Germany 2012
Date Created,1/27/2026 4:26:10 PM
Track,FSAE Endurance Germany 2012
Track Configuration,Closed Circuit
Vehicle,AR26 (1)

[KPI Values]
Lap time [s],68.6342945679376,
Percent in Corners [%],87.8537121327092,
Percent Accelerating [%],64.4503602845197,
Percent Braking [%],34.1112529574302,
Percent Coasting [%],0.595915667467298,
Percent 100% Throttle [%],9.94595471965863,
Percent TCS Enabled [%],27.9289349532105,
Lowest Speed [km/h],30.6487211437657,
Highest Speed [km/h],131.380595779309,
Average Speed [km/h],83.9366773174735,
Energy Spent [kJ],2707.59180404499,
Fuel Consumption [kg],∞,
Gear Shifts [-],0,
Maximum Lateral Acceleration [G],2.86792735321776,
Maximum Longitudinal Acceleration [G],1.88430734850445,
Maximum Longitudinal Deceleration [G],-3.98847866697631,
Time in Sector 1 [s],68.6342945679376,
Maximum Speed in Sector 1 [km/h],131.380595779309,
Minimum Speed in Sector 1 [km/h],30.6487211437657,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],270,
Drag Coefficient [-],1.4,
Downforce Coefficient [-],4.23,
Aero Efficiency [-],3.02142857142857,
Frontal Area [m^2],0.81,
Drivetrain Efficiency [%],100,
Tire Rolling Radius [m],0.203,
Air Density [kg/m^3],1.255,
Rev Limit [rpm],20000,
Longitudinal Friction [-],1.75,
Lateral Friction [-],1.75,
Final Drive Ratio [-],1,
Fuel Energy Density [J/kg],0,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.015,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],131.380595779309,
Acceleration Time To Speed [27.778 km/h] [s],54.8026134094753,
Acceleration Time For Distance [100 m] [s],54.9098219523825,
Deceleration Time For Speed [27.778 km/h] [s],1.34650984028751,
Deceleration Distance For Speed [27.778 km/h] [m],16.8,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
108.012603998776,0.00685032667618441,0.25,1.52940890061848,0.755690719924659,1,11.65,16442.7027230435,38.2017,107.294444636694,1935.45459532644,947.729146389125,0,47.0000550378983,0,-48.6352266373518,1,131.380595779309,1.75,1.75,0,0,0,0.163318698311795,0.18885353363632,0,4584.15459532644,
65.3713023851738,0.0208435770741069,0.5,-0.776799292529142,-2.13397560150471,1,11.65,9951.43947969054,76.8637529689554,107.416758490952,708.938218824928,234.636762731655,0,0,92.1000847939005,-43.2704532747037,1,131.380595779309,1.75,1.75,-0.297753458561509,-2.71666366974776,-20.330398309795,0.335374533144403,0.380475944701076,0,3357.63821882493,
64.3167223058925,0.0350669146773608,0.75,-0.858360072750091,-2.07129438488406,1,11.65,9790.90130081778,78.3968925771902,107.791886382539,686.249312936348,227.127432177515,0,0,89.9800960187004,-37.9056799120555,1,131.380595779309,1.75,1.75,-0.63624682422098,-3.8796030442126,-8.56217646729472,0.508460055669012,0.571241529891596,0,3334.94931293635,
63.2762875426724,0.0495260674343747,1,-0.954998938634361,-2.02094968341518,1,11.65,9632.51645607742,79.9094678444607,108.094239133817,664.226344736203,219.838506532077,0,0,88.3815668023999,-32.9765398348804,1,116.513094475113,1.75,1.75,-1.0356315160642,-4.63483755641656,-5.46975154803245,0.682705532129701,0.761020411524821,0,3312.9263447362,
62.2443109305575,0.0642254034583765,1.25,-1.01738150054916,-1.95918509158066,1,11.65,9475.41919129589,81.4097467231243,108.327666130211,642.73720791467,212.726262666794,0,0,86.2121659178199,-29.9530796697608,1,106.952860085515,1.75,1.75,-1.47270781184663,-5.20878955292189,-4.08889982692666,0.858299556207893,0.949612238781436,0,3291.43720791467,
61.2272553352367,0.0791679825521311,1.5,-1.09492748334139,-1.88869848687169,1,11.65,9320.59334516725,82.8883335536527,108.492950311921,621.904498046302,205.831275949131,0,0,83.5848764763424,-26.9296195046412,1,97.9320595062641,1.75,1.75,-1.95875814906899,-5.67338835379924,-3.25597558169183,1.03535849572365,1.13689227896035,0,3270.6044980463,
60.2305662465033,0.0943587413412755,1.75,-1.17895955223255,-1.83422559658145,1,11.65,9168.86788178031,84.337311728998,108.592546952416,601.821927268412,199.184562216496,0,0,81.6570371520577,-24.2025417394566,1,90.1399585799604,1.75,1.75,-2.5088878664214,-6.17162096357487,-3.43464060041676,1.21403166232734,1.32269673553516,0,3250.52192726841,
59.2465466993759,0.109800935759201,2,-1.23226895742765,-1.76888793407578,1,11.65,9019.07109614534,85.767871031812,108.630303065428,582.317977929866,192.729354397592,0,0,79.1723190122071,-22.4050834789131,1,85.1342608757243,1.75,1.75,-3.10094744631439,-6.75514778453751,-3.95713097136166,1.39451058652552,1.50680771941622,0,3231.01797792987,
